"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"453","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP842/2025-2026/251129","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","22-Aug-2026","PRAJITHA V","Payment In-Progress","423582"
"454","Punjab","Construction of rooms and halls in school and colleges","WS/MP140/2024-2025/135348","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","18-Aug-2026","AGGARWAL MARBLE HOUSE","Payment Success","20500"
"455","Punjab","Construction of rooms and halls in school and colleges","WS/MP140/2024-2025/135348","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","18-Aug-2026","AGGARWAL MARBLE HOUSE","Payment Success","48000"
"456","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2026-2027/299123","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Aug-2026","Shiv Tradars","Payment Success","25350"
"457","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299128","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Aug-2026","Guru Teg bahadur BKO","Payment Success","338688"
"458","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299128","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Aug-2026","Miglani Cement and Hardware Store","Payment Success","47090"
"459","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299128","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Aug-2026","Narula Trading Company","Payment Success","47680"
"460","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299128","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Aug-2026","Narula Trading Company","Payment Success","45235"
"461","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299128","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Aug-2026","Surinder Singh","Payment Success","179307"
"462","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299128","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Aug-2026","Sahab Singh","Payment Success","42000"
"463","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2025-2026/254354","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","19-Aug-2026","STAR BUILDERS","Payment Success","2034932"
"464","Punjab","Development of public parks","WS/MP235/2026-2027/299133","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Aug-2026","MOTI RAM RATTAN LAL","Payment Success","212348"
"465","Karnataka","Installing tube-wells and borewells","WS/MP086/2026-2027/256881","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","17-Aug-2026","M Jayaprakash","Payment Success","299046"
"466","Kerala","Construction of community centers and community halls","WS/MP102/2025-2026/189671","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","27-Jul-2026","Stephan Joseph","Payment Success","819349"
"467","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/270440","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","05-Aug-2026","ASHOK KUMAR","Payment Success","1489875"
"468","Madhya Pradesh","Construction of culverts and bridges","WS/MP107/2026-2027/283698","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Arjunkhedi","Payment Success","700000"
"469","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP103/2026-2027/258029","DINDORI(District Collector Dindori_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","10-Aug-2026","MANIRAM AHIRVAR","Payment Success","170555"
"470","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP831/2026-2027/147355","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","12-Aug-2026","ANIRAM MUCHAHARY","Payment Success","375000"
"471","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Kulwinder Singh","Payment Success","28000"
"472","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Kulwinder Singh","Payment Success","51000"
"473","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP100/2025-2026/201984","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","13-Aug-2026","Roby Babu","Payment Success","699635"
